GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
spring-i18n-support-samples-xml/spring-i18n-support,com.namics.oss.spring.support.i18n.exception,ReloadableResourceException,19,0,0,0,7,0,3,0,3,0
spring-i18n-support-samples-xml/spring-i18n-support,com.namics.oss.spring.support.i18n.exception,I18nException,16,0,0,0,8,0,4,0,4,0
spring-i18n-support-samples-xml/spring-i18n-support,com.namics.oss.spring.support.i18n.exception,DataAccessException,16,0,0,0,8,0,4,0,4,0
spring-i18n-support-samples-xml/spring-i18n-support,com.namics.oss.spring.support.i18n.util,MessageResourceEntryComparator,2,19,4,4,1,3,4,2,0,2
spring-i18n-support-samples-xml/spring-i18n-support,com.namics.oss.spring.support.i18n.util,LocaleComparator,0,23,0,8,0,8,0,6,0,2
spring-i18n-support-samples-xml/spring-i18n-support,com.namics.oss.spring.support.i18n.dao,ExcelMessageSourceDao,51,151,4,10,13,31,6,11,3,7
spring-i18n-support-samples-xml/spring-i18n-support,com.namics.oss.spring.support.i18n.dao,SimpleJdbcMessageSourceDao.TableEntry,3,27,0,0,2,10,1,5,1,5
spring-i18n-support-samples-xml/spring-i18n-support,com.namics.oss.spring.support.i18n.dao,SimpleJdbcMessageSourceDao.TableEntryRowMapper,0,19,0,0,0,2,0,2,0,2
spring-i18n-support-samples-xml/spring-i18n-support,com.namics.oss.spring.support.i18n.dao,SimpleJdbcMessageSourceDao,175,559,9,17,46,107,19,20,13,13
spring-i18n-support-samples-xml/spring-i18n-support,com.namics.oss.spring.support.i18n.model,MessageResourceEntry,37,46,1,1,4,13,4,9,3,9
spring-i18n-support-samples-xml/spring-i18n-support,com.namics.oss.spring.support.i18n.model,MessageCacheKey,20,91,11,11,7,25,9,9,0,7
spring-i18n-support-samples-xml/spring-i18n-support,com.namics.oss.spring.support.i18n.dao.jpa.model,MessageResource,24,62,1,1,10,19,6,12,5,12
spring-i18n-support-samples-xml/spring-i18n-support,com.namics.oss.spring.support.i18n,DaoMessageSource.MessageCachingMapDecorator,0,14,0,0,0,2,0,2,0,2
spring-i18n-support-samples-xml/spring-i18n-support,com.namics.oss.spring.support.i18n,DaoMessageSource.FormatCachingMapDecorator,2,23,1,1,1,4,1,2,0,2
spring-i18n-support-samples-xml/spring-i18n-support,com.namics.oss.spring.support.i18n,NoCacheDaoMessageSource,19,54,3,7,8,12,5,8,2,6
spring-i18n-support-samples-xml/spring-i18n-support,com.namics.oss.spring.support.i18n,DaoMessageSource,19,49,0,0,5,10,0,5,0,5
spring-i18n-support-samples-xml/spring-i18n-support,com.namics.oss.spring.support.i18n,EhCacheDaoMessageSource,117,69,10,2,19,19,7,6,1,6
spring-i18n-support-samples-xml/spring-i18n-support,com.namics.oss.spring.support.i18n,AbstractDaoMessageSource,172,256,21,37,28,56,18,25,2,12
spring-i18n-support-samples-xml/spring-i18n-support,com.namics.oss.spring.support.i18n.service,MessageManagementServiceImpl,41,431,8,30,9,102,9,33,3,20
spring-i18n-support-samples-xml/spring-i18n-support,com.namics.oss.spring.support.i18n.service,ReloadServiceImpl,79,0,4,0,20,0,6,0,4,0
spring-i18n-support-samples-xml/spring-i18n-support,com.namics.oss.spring.support.i18n.excel,ExcelReader,109,343,15,37,26,79,19,19,4,8
spring-i18n-support-samples-xml/spring-i18n-support,com.namics.oss.spring.support.i18n.excel,ExcelWriter,139,608,6,28,36,155,19,24,13,13
spring-i18n-support-samples-xml/spring-i18n-support,com.namics.oss.spring.support.i18n.legacy,CachingMapDecorator,310,91,44,10,71,27,41,10,16,8
spring-i18n-support-samples-xml/spring-i18n-support,com.namics.oss.spring.support.i18n.text,SqlScriptWriter.new Comparator() {...},0,12,0,0,0,2,0,2,0,2
spring-i18n-support-samples-xml/spring-i18n-support,com.namics.oss.spring.support.i18n.text,SqlScriptWriter,177,361,4,10,61,74,25,13,22,9
spring-i18n-support-samples-xml/spring-i18n-support,com.namics.oss.spring.support.i18n.properties,PropertiesWriter,86,280,11,19,21,64,15,16,5,11
spring-i18n-support-samples-xml/spring-i18n-support,com.namics.oss.spring.support.i18n.config,I18nConfigTemplate,45,0,0,0,13,0,7,0,7,0
spring-i18n-support-samples-xml/spring-i18n-support-web,com.namics.oss.spring.support.i18n.web.bean,MessageSourceTableBean,27,0,0,0,11,0,7,0,7,0
spring-i18n-support-samples-xml/spring-i18n-support-web,com.namics.oss.spring.support.i18n.web.config,I18nWebConfig,110,0,0,0,18,0,8,0,8,0
spring-i18n-support-samples-xml/spring-i18n-support-web,com.namics.oss.spring.support.i18n.web,MessageSourceManagementController,579,0,46,0,158,0,52,0,29,0
spring-i18n-support-samples-xml/spring-i18n-support-web,com.namics.oss.spring.support.i18n.web.controller,FileController,186,0,12,0,37,0,10,0,4,0
spring-i18n-support-samples-xml/spring-i18n-support-web,com.namics.oss.spring.support.i18n.web.controller,MessageSourceDataController,330,0,30,0,68,0,27,0,12,0
spring-i18n-support-samples-xml/spring-i18n-support-starter,com.namics.oss.spring.support.i18n.autoconfigure,SpringI18nSupportProperties,37,0,0,0,13,0,7,0,7,0
spring-i18n-support-samples-xml/spring-i18n-support-starter,com.namics.oss.spring.support.i18n.autoconfigure,SpringI18nSupportProperties.Web,17,0,0,0,7,0,5,0,5,0
spring-i18n-support-samples-xml/spring-i18n-support-starter,com.namics.oss.spring.support.i18n.autoconfigure,SpringI18nSupportStarterAutoConfiguration,3,0,0,0,1,0,1,0,1,0
spring-i18n-support-samples-xml/spring-i18n-support-starter,com.namics.oss.spring.support.i18n.autoconfigure,SpringI18nSupportProperties.DataSource,53,0,0,0,21,0,11,0,11,0
spring-i18n-support-samples-xml/spring-i18n-support-starter,com.namics.oss.spring.support.i18n.autoconfigure,SpringI18nSupportWebAutoConfiguration,69,0,4,0,15,0,6,0,4,0
spring-i18n-support-samples-xml/spring-i18n-support-starter,com.namics.oss.spring.support.i18n.autoconfigure,SpringI18nSupportAutoConfiguration,93,0,10,0,24,0,14,0,9,0
